                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                0.76166,                0.36142,                 1.0664,                0.82715,                  0.998,                0.84594,                0.69039,                0.83893,                0.65209,                 1.1553,               0.006271,               0.006271,               0.006271
                    116,                0.75396,                0.36407,                 1.0691,                0.82798,                  0.998,                0.84457,                 0.6917,                0.83553,                0.65076,                 1.1504,               0.006238,               0.006238,               0.006238
                    117,                0.75473,                0.36759,                  1.064,                0.82661,                  0.998,                0.84432,                0.68874,                0.83585,                0.66301,                 1.1445,               0.006205,               0.006205,               0.006205
                    118,                0.75217,                0.36199,                 1.0652,                0.82495,                  0.998,                 0.8512,                0.69648,                0.83561,                 0.6597,                 1.1438,               0.006172,               0.006172,               0.006172
                    119,                 0.7564,                0.36292,                 1.0673,                0.82467,                0.99703,                0.83878,                0.67989,                0.84141,                0.64826,                 1.1443,               0.006139,               0.006139,               0.006139
                    120,                0.75702,                0.36783,                 1.0689,                0.82509,                  0.998,                0.83909,                0.68335,                0.83899,                0.65988,                 1.1529,               0.006106,               0.006106,               0.006106
                    121,                0.74521,                0.35955,                 1.0625,                0.82374,                  0.998,                 0.8376,                0.68318,                0.83863,                 0.6708,                 1.1539,               0.006073,               0.006073,               0.006073
                    122,                0.75186,                0.36328,                 1.0633,                 0.8274,                  0.998,                0.83812,                0.68346,                0.83874,                0.66159,                 1.1526,                0.00604,                0.00604,                0.00604
                    123,                0.74693,                0.36068,                 1.0588,                 0.8267,                0.99824,                0.83553,                0.68229,                0.84499,                0.65865,                 1.1537,               0.006007,               0.006007,               0.006007
                    124,                0.75178,                0.36281,                 1.0621,                0.82393,                  0.998,                0.83673,                0.67945,                0.84696,                0.65303,                 1.1519,               0.005974,               0.005974,               0.005974
                    125,                0.74396,                0.35421,                 1.0525,                0.82342,                0.99719,                0.83513,                 0.6797,                0.84262,                0.65732,                   1.14,               0.005941,               0.005941,               0.005941
                    126,                0.74587,                0.35883,                 1.0595,                0.82446,                  0.998,                0.83521,                0.68231,                0.83787,                0.65183,                 1.1411,               0.005908,               0.005908,               0.005908
                    127,                0.74404,                0.35533,                 1.0551,                0.82492,                 0.9983,                0.83988,                0.68476,                0.84641,                0.66297,                 1.1542,               0.005875,               0.005875,               0.005875
                    128,                0.73782,                 0.3574,                 1.0544,                0.82545,                  0.998,                0.84182,                0.68484,                0.84754,                 0.6622,                 1.1585,               0.005842,               0.005842,               0.005842
